line,lat,long,county_name,position,income2011,income2000,stop_name,county,tract,tract_lookup
3,40.670732,-73.957696,Brooklyn,11,35233,26469,Franklin Ave.,47,21900,021900
3,40.672122,-73.964154,Brooklyn,12,59617,39489,Eastern Parkway-Brooklyn Museum,47,21500,021500
3,40.67511,-73.970822,Brooklyn,13,109329,67317,Grand Army Plaza,47,15900,015900
3,40.680695,-73.974748,Brooklyn,14,88036,55625,Bergen St.,47,12902,012902
3,40.683928,-73.978412,Brooklyn,15,87875,48024,Atlantic Ave.-Barclays Center,47,12901,012901
3,40.688085,-73.980243,Brooklyn,16,83688,45213,Nevins St.,47,3300,003300
3,40.690931,-73.98525,Brooklyn,17,66023,34375,Hoyt St.-Fulton Mall,47,1500,001500
3,40.692548,-73.990099,Brooklyn,18,79231,29732,Borough Hall,47,1100,001100
3,40.697649,-73.99306,Brooklyn,19,91250,65013,Clark St.,47,501,000501
3,40.707431,-74.008778,Manhattan,20,125124,81071,Wall St.,61,700,000700
3,40.711026,-74.00919,Manhattan,21,114412,81609,Fulton St.,61,1300,001300
3,40.712712,-74.007766,Manhattan,22,205192,128384,Park Place,61,2100,002100
3,40.715576,-74.009031,Manhattan,23,205192,128384,Chambers St.,61,2100,002100
3,40.737826,-74.000201,Manhattan,24,94292,81696,14 St.-7 Ave.,61,8100,008100
3,40.75102,-73.990323,Manhattan,25,155278,71641,34 St.-Penn Station,61,10900,010900
3,40.754301,-73.986623,Manhattan,26,118487,47813,Times Square-42 St.,61,11300,011300
3,40.779146,-73.981822,Manhattan,27,115833,75327,72 St.,61,15900,015900
3,40.794312,-73.972015,Manhattan,28,75481,53229,96 St.,61,18300,018300
3,40.799033,-73.952058,Manhattan,29,39338,25236,Central Park North (110 St.),61,21600,021600
3,40.802111,-73.949437,Manhattan,30,55469,16623,116 St.,61,19000,019000
3,40.807875,-73.945229,Manhattan,31,64286,24091,125 St.,61,20000,020000
3,40.814188,-73.940618,Manhattan,32,55591,29563,135 St.,61,21200,021200
3,40.820602,-73.935933,Manhattan,33,38481,23047,145 St.,61,23600,023600
3,40.824069,-73.936981,Manhattan,34,38481,23047,Harlem-148 St.,61,23600,023600
4,40.669102,-73.934213,Brooklyn,1,35072,27188,Crown Hts-Utica Ave.,47,35300,035300
4,40.670732,-73.957696,Brooklyn,2,35233,26469,Franklin Ave.,47,21900,021900
4,40.683928,-73.978412,Brooklyn,3,87875,48024,Atlantic Ave.,47,12901,012901
4,40.688085,-73.980243,Brooklyn,4,83688,45213,Nevins St.,47,3300,003300
4,40.692548,-73.990099,Brooklyn,5,79231,29732,Borough Hall,47,1100,001100
4,40.704629,-74.013502,Manhattan,6,114412,81609,Bowling Green,61,1300,001300
4,40.708436,-74.011298,Manhattan,7,114412,81609,Wall St.,61,1300,001300
4,40.711026,-74.00919,Manhattan,8,114412,81609,Fulton St.,61,1300,001300
4,40.713899,-74.003642,Manhattan,9,135573,67361,Brooklyn Bridge-City Hall,61,3100,003100
4,40.735184,-73.989793,Manhattan,10,109637,71734,14 St.-Union Square,61,5000,005000
4,40.75283,-73.978917,Manhattan,11,131786,62375,Grand Central-42 St.,61,9200,009200
4,40.762255,-73.965918,Manhattan,12,104835,68417,59 St.,61,11000,011000
4,40.779661,-73.955302,Manhattan,13,104514,89713,86 St.,61,14802,014802
4,40.804517,-73.937186,Manhattan,14,15625,9829,125 St.,61,19600,019600
4,40.813091,-73.929689,the Bronx,15,16580,25662,138 St.,5,5100,005100
4,40.818405,-73.927101,the Bronx,16,16580,25662,149 St.-Grand Concourse,5,5100,005100
4,40.827707,-73.9259,the Bronx,17,29923,23138,161 St.-Yankee Stadium,5,6300,006300
4,40.835726,-73.921059,the Bronx,18,29678,22904,167 St.,5,19700,019700
4,40.840076,-73.917648,the Bronx,19,26756,20603,170 St.,5,22101,022101
4,40.844389,-73.914578,the Bronx,20,51597,20625,Mount Eden Ave.,5,22702,022702
4,40.848501,-73.911633,the Bronx,21,32500,19219,176 St.,5,22701,022701
4,40.853596,-73.907393,the Bronx,22,26172,19692,Burnside Ave.,5,24100,024100
4,40.858453,-73.90369,the Bronx,23,23029,17548,183 St.,5,23900,023900
4,40.862814,-73.900815,the Bronx,24,33250,26779,Fordham Rd.,5,40100,040100
4,40.867766,-73.897039,the Bronx,25,39816,26947,Kingsbridge Rd.,5,40304,040304
4,40.873528,-73.889754,the Bronx,26,53795,41147,Bedford Park Blvd.-Lehman College,5,40900,040900
4,40.879899,-73.884244,the Bronx,27,31801,26530,Mosholu Parkway,5,41900,041900
4,40.886737,-73.87812,the Bronx,28,32889,27774,Woodlawn,5,43100,043100
5,40.63275,-73.947375,Brooklyn,1,37073,33822,Flatbush Ave.-Brooklyn College,47,78600,078600
5,40.639924,-73.948161,Brooklyn,2,40096,27623,Newkirk Ave.,47,83000,083000
5,40.645046,-73.948684,Brooklyn,3,34019,36866,Beverly Rd.,47,82600,082600
5,40.650748,-73.949384,Brooklyn,4,33816,31193,Church Ave.,47,82400,082400
5,40.657184,-73.949976,Brooklyn,5,44444,26287,Winthrop St.,47,80400,080400
5,40.663226,-73.95067,Brooklyn,6,37239,27454,Sterling St.,47,32900,032900
5,40.668145,-73.950458,Brooklyn,7,36607,33738,President St.,47,31900,031900
5,40.670732,-73.957696,Brooklyn,8,35233,26469,Franklin Ave.,47,21900,021900
5,40.683928,-73.978412,Brooklyn,9,87875,48024,Atlantic Ave.,47,12901,012901
5,40.688085,-73.980243,Brooklyn,10,83688,45213,Nevins St.,47,3300,003300
5,40.692548,-73.990099,Brooklyn,11,79231,29732,Borough Hall,47,1100,001100
